Neutralized SMILES,ATC Codes,predicted_atc4
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,D01AC; G01AF; H02CA; J02AB,A07BA07
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,C09AA; C09BA,A07AA07
NNCCc1ccccc1,N06AF,M01AA01
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,J01DH,A07AA07
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,D06BB,M05AA02
C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,M09AA; P01BC,A01AA04
O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,L03AX,A07AA07
Cc1cccc(CN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,R06AE,A07BA04
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,J01DB,J/013
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,J05AP,J15AA06
CCC(C(=O)O)C1(O)CCCCC1,A05AX,A09AA09
COCCCOc1ccnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c1C,A02BC,J/A01AA03
O=C1NCCN1c1ncc([N+](=O)[O-])s1,P02BX,A07BC01
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,G01AE,J05AA02
O=C1C(=O)c2ncccc2-c2cccnc21,P01AX,"J17AA
"
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,A10BB; G01AE,A07BA07
CCCCCCn1c(=O)c2c(ncn2C)n(C)c1=O,C04AD,A07AA07
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,N06AA,M05AA03
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,G04CA,A07BA08
Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,L01DC,A07BA08
NC(CCCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)C(=O)O,N03AB,A07AA07
C[S+](C)CC[C@H](N)C(=O)O,A02BX,J/M01AA
O=c1[nH]cc(F)c(=O)[nH]1,L01BC,A07AA07
CCC1(c2ccccc2)C(=O)NCNC1=O,N03AA; N05CB,J/M01AA
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,S01BC,M01AA08
CN1C(=O)C[C@@](C)(c2ccccc2)C1=O,N03AD,A07AA07
CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,J05AE,J05BA07
C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,L02BG,J01AA03
CC(N)CCCC(C)(C)O,C01DX; N06BX,A07AA07
CC(C)OC(=O)CCC/C=C\\C[C@@H]1[C@@H](/C=C/C(F)(F)COc2ccccc2)[C@H](O)C[C@@H]1O,S01EE,A07AA07
N[C@@H](CC(=O)N1CCc2c(nc(C(F)(F)F)nc2C(F)(F)F)C1)CN1CC(F)(F)CCC1=O,A10BH,A07BA08
Nc1cc(-c2ccncc2)c[nH]c1=O,C01CE,J01AA06
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,J05AE; J05AP; J05AR,A07BA07
CC(C)NC[C@H](O)c1ccc(O)c(O)c1,C01CA; R03AB; R03CB,A07AA07
COCCCC/C(=N\\OCCN)c1ccc(C(F)(F)F)cc1,N06AB,J01AA02
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,J05AX,D06AA04
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,L01EX; L01XE,A07BA09
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,J05AB,J15AA
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,G04CA,J/A05AB14
c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,L03AX,A07BA07
C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,L01EX,J/01AA
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,G03DC,J/01/011
[NH-]c1c[n+](N2CCOCC2)no1,C01DX,J01AA02
O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,L01AA; P01AC,A07BC02
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N04BA,A07AA07
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl,D07AB; S01BA; S01CA,J Rel 01
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,J05AF; J05AR,A07AA07
CC(C)C[C@H](NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(N)=O)CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC2=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)O,A06AX,A07AA07
CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,J01CR,J01AA02
CN/C(=N\\CCSCc1nc[nH]c1C)NC#N,A02BA,A08AA08
O=c1[nH]c2cc(Cl)ccc2o1,M03BB,M01AA02
CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,R03AC; R03CC,"M01AA08
"
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,M05BA; M05BB,A07BA07
N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,L01XX,J05AA02
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,R05CZ,A07BC01
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,N02AA; N02AG,J05BA01
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,J01FA,A02AA08
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,N05CM; N05CX,A01AA04
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,A05AA,A01AA01
O=C(O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,S01EX,J (Antimalarials)
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,D05AX,M01AA04
NNc1nncc2ccccc12,C02DB; C02LG,"J01AA
"
CC1=C(C/C=C(\\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,B02BA,"J (Antihistamines)
"
Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,J05AG; J05AR,J Edn
CN(C)CCN(Cc1cccs1)c1ccccn1,R06AC,A01AA02
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,D11AH,J01AA03
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,P01BC; P01BF,J1AB
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,M03AC,J05AA03
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,J01DD,A07AA07
CC12CCC3c4ccc(O)cc4CC(CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)C3C1CCC2O,L02BA,J05AA02
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,J01CA,J/01AA03
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,N05AA,A07AA07
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,A04AD,M01AA08
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,P02CA,A07BA07
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,A07AA; J01GB; S01AA,J01AA03
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,J01XX,M01AA08
CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C,J01FA,J05BA07
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,L04AA; L04AF,J01AA03
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,J02AX,J05BA07
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@](C)(F)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,J01FA,J05BA08
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,C04AB,A07BA04
CCC1(C)CC(=O)NC(=O)C1,R07AB,A07AA07
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,L01XE,E17AA08
CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,D07AC,A07AA07
Nc1ccc(C(=O)O)c(O)c1,J04AA,A02AA04
COc1cc2nc(N3CCN(C(=O)[C@H]4CCCO4)CC3)nc(N)c2cc1OC,G04CA,A07BA07
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,N05BA,A01AA01
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@]2(OC)C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]32)[C@H](C)O)C(=O)C1=O,J01DC,J/08AA
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1,L01DB,A07BC01
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,J01CR,J/01AA03
C/C(=C(\\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,A11DA,A07AA07
CN1CCN2c3ccccc3Cc3ccccc3C2C1,N06AX,A01AA04
C=CC[C@@]1([C@@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,N01AF; N05CA,J/01AA
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,M01AX; M02AA,J05AA02
C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,J01CA,M05AB03
OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,L01XX,A07AA07
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,G01AE; P01BF,J/A01/003
CCCCN(CCCC)CCNc1nc(-c2ccccc2)no1,C04AX,A01EA02
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,L01EX,"J உட்பোটাসং
"
C[C@H](N)[C@H](O)c1cccc(O)c1,C01CA,A01AA04
Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,N06AB,J01AA03
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,N06AB,M01AA03
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,C02AA; C02LA,A07BA08
CO/N=C1\\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\\C)C[C@@H](C)/C=C/C=C4\\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,P02CX,J05BA02
CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,R06AA,M01AA06
Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,J01DD,A07AA07
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,J05AG; J05AR,A02AA02
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,B01AC,A07AA07
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,J05AP; J05AX,J05BA02
O=C(N/N=C/C=C/c1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])s1,A07AX,A07AA08
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,N07AA,A07AA07
COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,C07AB,M02AA02
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,N05AL,M05AB01
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\\C)C(=O)O)c(Cl)c3)n2)c1OC,B02BX,D06AA08
CC[Si](O)(O)CC,A03AX,A07AA07
CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,B01AC,J/01.AA01
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,N05CA,A07AA07
CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,H01CA,A07AA07
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,D01AC; G01AF,J01AA03
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,B05CA; D08AF; D09AA; P01CC; S01AX; S02AA,A07AA02
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,J06BB,J16AA
Nc1c2c(nc3ccccc13)CCCC2,N06DA,J (Antidepressants)
Cc1nnc(C(=O)NC(C)(C)c2nc(/C(O)=N/Cc3ccc(F)cc3)c(O)c(=O)n2C)o1,J05AX,J05AA03
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,L02AE,A07BA08
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,N02AF,M05AB01
C[C@H](S)C(=O)NCC(=O)O,R05CB,A07BA08
Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,G01AX,A01AA04
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,G03CB; G03CC; L02AA,"M01AA08
"
CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,R03DA,M05AB01
C[N@+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,A06AH,J01AA03
C/C(=C\\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,D06AX; R01AX,A07AA07
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,J01CA,J/01AA01
S=c1nc[nH]c2nc[nH]c12,L01BB; R03DA,"J01AA
"
CCC1(C)OC(=O)N(C)C1=O,N03AC,A07AA07
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,C08DA,A07BA08
CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1,S01ED,A07BA08
C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,D04AA; R06AD,J01AA03
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,J01MA; S01AE; S02AA,J05AA08
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,B01AA,M01AA03
COc1cccc(C2(O)CCCCC2CN(C)C)c1,N02AJ; N02AX,M01AA08
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,J05AB; S01AD,J/02AA
C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,H05BX,J)J01AA
CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,J02AX,A07AA07
CCCOC(=O)c1sc(C(=O)OCCC)c(O)c1O,G01AX,A06AA06
Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,R03AC; R03CC,"J15

"
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,D04AB; S01HA,A07BA08
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\\OC)c3csc(N)n3)[C@H]2SC1,J01DD,A07BA07
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,J05AB,M01AA02
COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,A03AE; A06AX,J/01AA
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,J01FA; J01RA; S01AA,J05BA03
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,C01BA,J15AA
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,J01CR,J/01AA03
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,N05CD,T19AA01
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,D01AC,M05AA02
COc1ccc(C[C@@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1,R03AC,"J15AA
"
CCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],C01DA,"E
"
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,G03AC; G03DB; L02AB,A07AA07
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,J01CA,J/01/036
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,P01CA,T81AA01
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,B03AB,A07AA07
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,N05BE,J/A02/001
C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,J01DC,A07AA07
COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,A03AX,J/01/036
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,J01DF,J05BA06
CN(C)CC[C@H](c1ccc(Br)cc1)c1ccccn1,R06AB,J01AA02
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,J05AP,J05BA06
CNCCc1ccccn1,N07CA,"J

"
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,N05AB,J01AA03
OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,R03AK; R03AL,A07BA08
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)/N=C(\\O)NC2CCCCC2)cc1,A10BB,J/01AA03
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,J01XX,J/01AA
CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,S01FA,A07AA07
CCOc1ccc(NC(=O)CC(C)O)cc1,N02BE,A07AA07
COc1ccc(-c2cc(=O)c3c(OCCO)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,C05CA,J05BA02
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,C09AA; C09BA,A07AA07
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,C01EA; G04BE,A07AA07
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,N05BA,A07AA07
Nc1nc(=S)c2[nH]cnc2[nH]1,L01BB,A07BC01
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,L01EL; L01XE,J01AA02
Clc1ccc([C@@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,D01AC; G01AF,A07BC01
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,L04AX,N03AA04
O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,N06BX,J/HD03
OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,A06AD,A01AA08
CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,C04AD,A07AA07
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,N02AA,J/013
O=C(O)CCCCCCCC(=O)O,D10AX,A08AA08
C[N+](C)(C)CCOC(N)=O,N07AB; S01EB,A07AA07
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,C08CA,A07BA04
Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,L01BA,A07AA07
NC(=O)C[S@+]([O-])C(c1ccccc1)c1ccccc1,N06BA,A07AA07
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,L01CA,J/01AA03
N[C@H]1C[C@H]1c1ccccc1,N06AF,A02AA08
CO[C@@H]1[C@H](OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,P01AX,A07AA07
[2H]C([2H])([2H])Oc1cc2c(cc1OC([2H])([2H])[2H])[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,N07XX,J/01AA
OCC1COC(CI)O1,R05CB,A01EA03
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,N05BA,A01EA03
NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl,C03BA,J01AA03
Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1,L01XX,A07AA07
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,A03AB; A03CA,A07BA07
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,N05CA; N05CB,J01AA03
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,N05CB,A07AA07
CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,L04AJ,J05AA03
